0,Stop n Shop,1926,23.12,https://www.goodrx.com/tadalafil-cialis?dosage=20mg&form=tablet&label_override=tadalafil+%28Cialis%29&quantity=30&sort_type=popularity,10025
1,Costco,47,22.49,https://www.goodrx.com/tadalafil-cialis?dosage=20mg&form=tablet&label_override=tadalafil+%28Cialis%29&quantity=30&sort_type=popularity,10025
2,ShopRite,250,26.60,https://www.goodrx.com/tadalafil-cialis?dosage=20mg&form=tablet&label_override=tadalafil+%28Cialis%29&quantity=30&sort_type=popularity,10025
3,Walmart,1837,31.64,https://www.goodrx.com/tadalafil-cialis?dosage=20mg&form=tablet&label_override=tadalafil+%28Cialis%29&quantity=30&sort_type=popularity,10025
4,CVS Pharmacy,1497,467.20,https://www.goodrx.com/tadalafil-cialis?dosage=20mg&form=tablet&label_override=tadalafil+%28Cialis%29&quantity=30&sort_type=popularity,10025
5,Wegmans,1400,25.14,https://www.goodrx.com/tadalafil-cialis?dosage=20mg&form=tablet&label_override=tadalafil+%28Cialis%29&quantity=30&sort_type=popularity,10025
6,Walgreens,1501,583.28,https://www.goodrx.com/tadalafil-cialis?dosage=20mg&form=tablet&label_override=tadalafil+%28Cialis%29&quantity=30&sort_type=popularity,10025
7,Target (CVS),1508,467.20,https://www.goodrx.com/tadalafil-cialis?dosage=20mg&form=tablet&label_override=tadalafil+%28Cialis%29&quantity=30&sort_type=popularity,10025
8,Acme Markets Pharmacy,901,22.69,https://www.goodrx.com/tadalafil-cialis?dosage=20mg&form=tablet&label_override=tadalafil+%28Cialis%29&quantity=30&sort_type=popularity,10025
9,Rite Aid,1916,414.90,https://www.goodrx.com/tadalafil-cialis?dosage=20mg&form=tablet&label_override=tadalafil+%28Cialis%29&quantity=30&sort_type=popularity,10025
10,Duane Reade,1383,583.28,https://www.goodrx.com/tadalafil-cialis?dosage=20mg&form=tablet&label_override=tadalafil+%28Cialis%29&quantity=30&sort_type=popularity,10025
11,Walgreens Specialty Pharmacy,1333,583.28,https://www.goodrx.com/tadalafil-cialis?dosage=20mg&form=tablet&label_override=tadalafil+%28Cialis%29&quantity=30&sort_type=popularity,10025
12,Kmart,1707,24.60,https://www.goodrx.com/tadalafil-cialis?dosage=20mg&form=tablet&label_override=tadalafil+%28Cialis%29&quantity=30&sort_type=popularity,10025
13,Grassy Sprain Pharmacy,,26.60,https://www.goodrx.com/tadalafil-cialis?dosage=20mg&form=tablet&label_override=tadalafil+%28Cialis%29&quantity=30&sort_type=popularity,10025
14,Capsule Pharmacy,,26.60,https://www.goodrx.com/tadalafil-cialis?dosage=20mg&form=tablet&label_override=tadalafil+%28Cialis%29&quantity=30&sort_type=popularity,10025
15,"Community, a Walgreens Pharmacy",1501,583.28,https://www.goodrx.com/tadalafil-cialis?dosage=20mg&form=tablet&label_override=tadalafil+%28Cialis%29&quantity=30&sort_type=popularity,10025
