0,Costco,48,22.49,https://www.goodrx.com/tadalafil-cialis?dosage=20mg&amp;form=tablet&amp;label_override=tadalafil+%28Cialis%29&amp;quantity=30&amp;sort_type=popularity,90011
1,Ralphs,1602,23.97,https://www.goodrx.com/tadalafil-cialis?dosage=20mg&amp;form=tablet&amp;label_override=tadalafil+%28Cialis%29&amp;quantity=30&amp;sort_type=popularity,90011
2,Vons Pharmacy,1031,22.69,https://www.goodrx.com/tadalafil-cialis?dosage=20mg&amp;form=tablet&amp;label_override=tadalafil+%28Cialis%29&amp;quantity=30&amp;sort_type=popularity,90011
3,Albertsons (Sav-on),1277,22.69,https://www.goodrx.com/tadalafil-cialis?dosage=20mg&amp;form=tablet&amp;label_override=tadalafil+%28Cialis%29&amp;quantity=30&amp;sort_type=popularity,90011
4,Walmart,1837,31.64,https://www.goodrx.com/tadalafil-cialis?dosage=20mg&amp;form=tablet&amp;label_override=tadalafil+%28Cialis%29&amp;quantity=30&amp;sort_type=popularity,90011
5,CVS Pharmacy,1506,467.20,https://www.goodrx.com/tadalafil-cialis?dosage=20mg&amp;form=tablet&amp;label_override=tadalafil+%28Cialis%29&amp;quantity=30&amp;sort_type=popularity,90011
6,Target (CVS),1508,467.20,https://www.goodrx.com/tadalafil-cialis?dosage=20mg&amp;form=tablet&amp;label_override=tadalafil+%28Cialis%29&amp;quantity=30&amp;sort_type=popularity,90011
7,Rite Aid,1896,414.90,https://www.goodrx.com/tadalafil-cialis?dosage=20mg&amp;form=tablet&amp;label_override=tadalafil+%28Cialis%29&amp;quantity=30&amp;sort_type=popularity,90011
8,Pavilions Pharmacy,1051,22.69,https://www.goodrx.com/tadalafil-cialis?dosage=20mg&amp;form=tablet&amp;label_override=tadalafil+%28Cialis%29&amp;quantity=30&amp;sort_type=popularity,90011
9,Walgreens,1499,583.28,https://www.goodrx.com/tadalafil-cialis?dosage=20mg&amp;form=tablet&amp;label_override=tadalafil+%28Cialis%29&amp;quantity=30&amp;sort_type=popularity,90011
10,Walmart Neighborhood Market,1837,31.64,https://www.goodrx.com/tadalafil-cialis?dosage=20mg&amp;form=tablet&amp;label_override=tadalafil+%28Cialis%29&amp;quantity=30&amp;sort_type=popularity,90011
11,"Community, a Walgreens Pharmacy",1501,583.28,https://www.goodrx.com/tadalafil-cialis?dosage=20mg&amp;form=tablet&amp;label_override=tadalafil+%28Cialis%29&amp;quantity=30&amp;sort_type=popularity,90011
