0,Kroger Pharmacy,1723,246.80,https://www.goodrx.com/vardenafil?dosage=10mg&form=tablet&label_override=vardenafil&quantity=30&sort_type=popularity,77084
1,CVS Pharmacy,1098,351.70,https://www.goodrx.com/vardenafil?dosage=10mg&form=tablet&label_override=vardenafil&quantity=30&sort_type=popularity,77084
2,Walgreens,1167,458.75,https://www.goodrx.com/vardenafil?dosage=10mg&form=tablet&label_override=vardenafil&quantity=30&sort_type=popularity,77084
3,HEB Grocery,1313,422.35,https://www.goodrx.com/vardenafil?dosage=10mg&form=tablet&label_override=vardenafil&quantity=30&sort_type=popularity,77084
4,Walmart Neighborhood Market,1558,402.50,https://www.goodrx.com/vardenafil?dosage=10mg&form=tablet&label_override=vardenafil&quantity=30&sort_type=popularity,77084
5,Walmart,1516,402.50,https://www.goodrx.com/vardenafil?dosage=10mg&form=tablet&label_override=vardenafil&quantity=30&sort_type=popularity,77084
6,Costco,,,https://www.goodrx.com/vardenafil?dosage=10mg&form=tablet&label_override=vardenafil&quantity=30&sort_type=popularity,77084
7,Target (CVS),1094,351.70,https://www.goodrx.com/vardenafil?dosage=10mg&form=tablet&label_override=vardenafil&quantity=30&sort_type=popularity,77084
8,Randall's,1387,409.10,https://www.goodrx.com/vardenafil?dosage=10mg&form=tablet&label_override=vardenafil&quantity=30&sort_type=popularity,77084
9,Carepoint Pharmacy,1469,422.10,https://www.goodrx.com/vardenafil?dosage=10mg&form=tablet&label_override=vardenafil&quantity=30&sort_type=popularity,77084
