0,Stop n Shop,1495,14.90,https://www.goodrx.com/sildenafil?dosage=25mg&form=tablet&label_override=sildenafil&quantity=30&sort_type=popularity,10025
1,Costco,45,13.99,https://www.goodrx.com/sildenafil?dosage=25mg&form=tablet&label_override=sildenafil&quantity=30&sort_type=popularity,10025
2,Walmart,886,26.41,https://www.goodrx.com/sildenafil?dosage=25mg&form=tablet&label_override=sildenafil&quantity=30&sort_type=popularity,10025
3,CVS Pharmacy,1111,380.20,https://www.goodrx.com/sildenafil?dosage=25mg&form=tablet&label_override=sildenafil&quantity=30&sort_type=popularity,10025
4,ShopRite,202,15.00,https://www.goodrx.com/sildenafil?dosage=25mg&form=tablet&label_override=sildenafil&quantity=30&sort_type=popularity,10025
5,Capsule Pharmacy,2998,15.73,https://www.goodrx.com/sildenafil?dosage=25mg&form=tablet&label_override=sildenafil&quantity=30&sort_type=popularity,10025
6,Wegmans,250,15.73,https://www.goodrx.com/sildenafil?dosage=25mg&form=tablet&label_override=sildenafil&quantity=30&sort_type=popularity,10025
7,Target (CVS),1140,380.20,https://www.goodrx.com/sildenafil?dosage=25mg&form=tablet&label_override=sildenafil&quantity=30&sort_type=popularity,10025
8,Rite Aid,1898,264.75,https://www.goodrx.com/sildenafil?dosage=25mg&form=tablet&label_override=sildenafil&quantity=30&sort_type=popularity,10025
9,Walgreens,574,515.45,https://www.goodrx.com/sildenafil?dosage=25mg&form=tablet&label_override=sildenafil&quantity=30&sort_type=popularity,10025
10,Acme Markets Pharmacy,153,15.73,https://www.goodrx.com/sildenafil?dosage=25mg&form=tablet&label_override=sildenafil&quantity=30&sort_type=popularity,10025
11,Kmart,1074,14.90,https://www.goodrx.com/sildenafil?dosage=25mg&form=tablet&label_override=sildenafil&quantity=30&sort_type=popularity,10025
12,Duane Reade,982,515.45,https://www.goodrx.com/sildenafil?dosage=25mg&form=tablet&label_override=sildenafil&quantity=30&sort_type=popularity,10025
13,Grassy Sprain Pharmacy,,15.73,https://www.goodrx.com/sildenafil?dosage=25mg&form=tablet&label_override=sildenafil&quantity=30&sort_type=popularity,10025
14,"Community, a Walgreens Pharmacy",1074,515.45,https://www.goodrx.com/sildenafil?dosage=25mg&form=tablet&label_override=sildenafil&quantity=30&sort_type=popularity,10025
15,Walgreens Specialty Pharmacy,1074,515.45,https://www.goodrx.com/sildenafil?dosage=25mg&form=tablet&label_override=sildenafil&quantity=30&sort_type=popularity,10025
