0,CVS Pharmacy,1096,439.30,https://www.goodrx.com/vardenafil?dosage=2.5mg&form=tablet&label_override=vardenafil&quantity=30&sort_type=popularity,90011
1,Costco,1639,461.30,https://www.goodrx.com/vardenafil?dosage=2.5mg&form=tablet&label_override=vardenafil&quantity=30&sort_type=popularity,90011
2,Ralphs,1930,243.50,https://www.goodrx.com/vardenafil?dosage=2.5mg&form=tablet&label_override=vardenafil&quantity=30&sort_type=popularity,90011
3,Walgreens,1167,468.95,https://www.goodrx.com/vardenafil?dosage=2.5mg&form=tablet&label_override=vardenafil&quantity=30&sort_type=popularity,90011
4,Walmart,1611,558.50,https://www.goodrx.com/vardenafil?dosage=2.5mg&form=tablet&label_override=vardenafil&quantity=30&sort_type=popularity,90011
5,Rite Aid,1830,458.85,https://www.goodrx.com/vardenafil?dosage=2.5mg&form=tablet&label_override=vardenafil&quantity=30&sort_type=popularity,90011
6,Target (CVS),1639,439.30,https://www.goodrx.com/vardenafil?dosage=2.5mg&form=tablet&label_override=vardenafil&quantity=30&sort_type=popularity,90011
7,Vons Pharmacy,1639,403.70,https://www.goodrx.com/vardenafil?dosage=2.5mg&form=tablet&label_override=vardenafil&quantity=30&sort_type=popularity,90011
8,Albertsons (Sav-on),1639,403.70,https://www.goodrx.com/vardenafil?dosage=2.5mg&form=tablet&label_override=vardenafil&quantity=30&sort_type=popularity,90011
9,Pavilions Pharmacy,1639,403.70,https://www.goodrx.com/vardenafil?dosage=2.5mg&form=tablet&label_override=vardenafil&quantity=30&sort_type=popularity,90011
10,Walmart Neighborhood Market,1639,558.50,https://www.goodrx.com/vardenafil?dosage=2.5mg&form=tablet&label_override=vardenafil&quantity=30&sort_type=popularity,90011
11,"Community, a Walgreens Pharmacy",1639,468.95,https://www.goodrx.com/vardenafil?dosage=2.5mg&form=tablet&label_override=vardenafil&quantity=30&sort_type=popularity,90011
